Id,Label,Type,CoefFatalidade
1,RJ 101,Rodovia,0.09355437050776721
2,GO 153,Rodovia,0.10745669093648004
3,ES 101,Rodovia,0.1399364553115071
4,SC 101,Rodovia,0.06368153521046319
5,RS 116,Rodovia,0.11802891708468574
6,PR 277,Rodovia,0.1625545256270447
7,RS 158,Rodovia,0.11463046757164404
8,MS 262,Rodovia,0.10660535117056856
9,RO 364,Rodovia,0.1507336188827121
10,SP 101,Rodovia,0.030285381479324403
11,PR 376,Rodovia,0.14059701492537313
12,PR 369,Rodovia,0.13011314186248912
13,ES 262,Rodovia,0.12089356110381078
14,GO 60,Rodovia,0.11761158021712907
15,MG 381,Rodovia,0.14985457429931254
16,DF 60,Rodovia,0.048115477145148355
17,PR 153,Rodovia,0.1518054532056006
18,GO 80,Rodovia,0.27303754266211605
19,PI 316,Rodovia,0.25207591933570583
20,PI 343,Rodovia,0.1235383833248602
21,RS 386,Rodovia,0.1334688346883469
22,BA 116,Rodovia,0.23350824587706148
23,PE 428,Rodovia,0.03107658157602664
24,SC 280,Rodovia,0.17422349161013923
25,PE 101,Rodovia,0.07460492466005145
26,SE 235,Rodovia,0.18522727272727274
27,PR 116,Rodovia,0.0850052798310454
28,SE 101,Rodovia,0.10695652173913044
29,MS 60,Rodovia,0.07435344827586207
30,DF 20,Rodovia,0.0042959427207637235
31,MG 365,Rodovia,0.2488938053097345
32,RJ 356,Rodovia,0.1005859375
33,PR 373,Rodovia,0.2137330754352031
34,MG 262,Rodovia,0.14644264675378552
35,PB 101,Rodovia,0.07889237199582028
36,MG 40,Rodovia,0.15536753040719195
37,TO 153,Rodovia,0.21363152289669862
38,SC 116,Rodovia,0.35427022141888836
39,MT 364,Rodovia,0.22800092872068725
40,CE 304,Rodovia,0.049586776859504134
41,PB 230,Rodovia,0.09487375669472073
42,PE 110,Rodovia,0.33783783783783783
43,MG 251,Rodovia,0.4037753222836096
44,AL 316,Rodovia,0.1393939393939394
45,SP 116,Rodovia,0.08537873609643945
46,SC 282,Rodovia,0.18222278738555442
47,MT 163,Rodovia,0.14818763326226012
48,ES 393,Rodovia,0.029411764705882353
49,RS 101,Rodovia,0.1723027375201288
50,RN 101,Rodovia,0.0327395281656235
51,RN 406,Rodovia,0.11609907120743033
52,RJ 116,Rodovia,0.051535087719298246
53,RS 392,Rodovia,0.21701149425287355
54,RS 285,Rodovia,0.20471841704718416
55,BA 324,Rodovia,0.12417638114546375
56,CE 116,Rodovia,0.1881981544439048
57,RS 290,Rodovia,0.1782905086523335
58,AL 101,Rodovia,0.09986684420772303
59,GO 70,Rodovia,0.05480540111199365
60,BA 101,Rodovia,0.2444663059517954
61,GO 364,Rodovia,0.18979057591623036
62,GO 50,Rodovia,0.4068767908309456
63,SP 381,Rodovia,0.043478260869565216
64,PI 222,Rodovia,0.15584415584415584
65,RJ 40,Rodovia,0.0822550831792976
66,SC 470,Rodovia,0.13533190578158458
67,SC 480,Rodovia,0.0
68,PA 316,Rodovia,0.297588285960379
69,PR 163,Rodovia,0.14196891191709846
70,MS 163,Rodovia,0.21659399846114388
71,MG 116,Rodovia,0.36439888164026096
72,MG 267,Rodovia,0.34772182254196643
73,RN 304,Rodovia,0.11867835468644639
74,PA 10,Rodovia,0.27505827505827507
75,AC 364,Rodovia,0.10579345088161209
76,MS 158,Rodovia,0.22877122877122877
77,MG 146,Rodovia,0.06569343065693431
78,BA 242,Rodovia,0.2027804410354746
79,MA 135,Rodovia,0.2381352372952541
80,PE 408,Rodovia,0.10276073619631902
81,MS NA,Rodovia,0.0
82,AL 104,Rodovia,0.09732360097323602
83,GO 452,Rodovia,0.23448275862068965
84,SC 163,Rodovia,0.012962962962962963
85,PE 104,Rodovia,0.26163391933815927
86,RJ NA,Rodovia,0.0
87,RS 470,Rodovia,0.04247104247104247
88,PR 158,Rodovia,0.2610294117647059
89,PE 232,Rodovia,0.14894050529747352
90,PE 423,Rodovia,0.1709577754891864
91,DF 70,Rodovia,0.008547008547008548
92,PR 476,Rodovia,0.1538732394366197
93,GO 40,Rodovia,0.13444354183590576
94,MT 174,Rodovia,0.21016005567153792
95,MT 70,Rodovia,0.06578501186842997
96,MA 230,Rodovia,0.3733528550512445
97,RJ 493,Rodovia,0.05402160864345738
98,CE 222,Rodovia,0.1456992393212405
99,MG 153,Rodovia,0.2068661971830986
100,PE 316,Rodovia,0.312316715542522
101,RS 287,Rodovia,0.2556131260794473
102,MG 50,Rodovia,0.06967042136003337
103,RN 110,Rodovia,0.11954459203036052
104,PI 135,Rodovia,0.11822125813449023
105,GO 158,Rodovia,0.042735042735042736
106,GO 20,Rodovia,0.318125
107,BA 110,Rodovia,0.25106685633001424
108,MA 222,Rodovia,0.3263888888888889
109,MA 10,Rodovia,0.17508813160987075
110,SP 153,Rodovia,0.10894736842105263
111,RJ 393,Rodovia,0.07344064386317907
112,RS NA,Rodovia,0.0
113,MT 158,Rodovia,0.23309352517985613
114,PI 235,Rodovia,0.375
115,PB 104,Rodovia,0.4232258064516129
116,MG 354,Rodovia,0.07142857142857142
117,TO 10,Rodovia,0.09469302809573361
118,DF 80,Rodovia,0.4092664092664093
119,RS 468,Rodovia,0.166189111747851
120,MA 226,Rodovia,0.3989071038251366
121,RN 427,Rodovia,0.0
122,RJ 465,Rodovia,0.030303030303030304
123,BA 20,Rodovia,0.8098933074684772
124,RS 293,Rodovia,0.46551724137931033
125,PA 230,Rodovia,0.3723196881091618
126,CE 20,Rodovia,0.2706552706552707
127,BA 418,Rodovia,0.3865546218487395
128,RN 405,Rodovia,0.11808118081180811
129,SC 153,Rodovia,0.06593406593406594
130,PE 424,Rodovia,0.5895117540687161
131,RS 448,Rodovia,0.05963302752293578
132,PA 163,Rodovia,0.5015620562340244
133,RN 226,Rodovia,0.14533965244865718
134,GO 251,Rodovia,0.21818181818181817
135,RO 319,Rodovia,0.2293040293040293
136,RS 153,Rodovia,0.1089588377723971
137,GO 414,Rodovia,0.07721518987341772
138,BA 235,Rodovia,0.29201101928374656
139,CE 230,Rodovia,0.4067796610169492
140,TO 235,Rodovia,0.4857142857142857
141,PE 407,Rodovia,0.04835164835164835
142,RS 472,Rodovia,0.23160173160173161
143,MA 316,Rodovia,0.2824675324675325
144,BA 415,Rodovia,0.12681159420289856
145,MS 463,Rodovia,0.3603960396039604
146,DF 251,Rodovia,0.08135593220338982
147,PB 116,Rodovia,0.4444444444444444
148,RR 401,Rodovia,0.41379310344827586
149,PA 222,Rodovia,0.21875
150,PI 230,Rodovia,0.20461095100864554
151,MS 267,Rodovia,0.2956521739130435
152,AP 210,Rodovia,0.010309278350515464
153,SP 459,Rodovia,0.0
154,TO 230,Rodovia,0.0
155,DF 40,Rodovia,0.036065573770491806
156,BA 407,Rodovia,0.21553090332805072
157,BA 349,Rodovia,0.0364963503649635
158,RO 435,Rodovia,0.41728922091782283
159,RO 429,Rodovia,0.37628865979381443
160,AL 423,Rodovia,0.41019417475728154
161,PB 405,Rodovia,0.10101010101010101
162,ES 259,Rodovia,0.32830820770519265
163,PA 155,Rodovia,0.16844919786096257
164,BA 330,Rodovia,0.12177121771217712
165,MG 459,Rodovia,0.05434782608695652
166,PB 361,Rodovia,0.2972027972027972
167,SP 488,Rodovia,0.0
168,AM 319,Rodovia,0.20658949243098843
169,MA 402,Rodovia,0.48717948717948717
170,MS 436,Rodovia,0.0
171,PE 116,Rodovia,0.2361111111111111
172,BA 410,Rodovia,0.38202247191011235
173,AC 317,Rodovia,0.17763157894736842
174,RR 432,Rodovia,0.4555984555984556
175,PR 467,Rodovia,0.2702702702702703
176,RR 174,Rodovia,0.18691588785046728
177,MS 376,Rodovia,0.1912568306010929
178,PR 469,Rodovia,0.0
179,AP 156,Rodovia,0.2847457627118644
180,RS 471,Rodovia,0.33226837060702874
181,PA 308,Rodovia,0.3047619047619048
182,MG 364,Rodovia,0.026490066225165563
183,PB 427,Rodovia,0.04878048780487805
184,BA 135,Rodovia,0.2230281051677244
185,MG 356,Rodovia,0.0
186,BA 367,Rodovia,0.06942392909896603
187,TO 242,Rodovia,0.5786516853932584
188,SC 158,Rodovia,0.08256880733944955
189,RO 174,Rodovia,0.0
190,AM 174,Rodovia,0.1382716049382716
191,BA 420,Rodovia,0.0
192,TO NA,Rodovia,0.0
193,AL NA,Rodovia,0.0
194,RJ 354,Rodovia,0.0
195,PR 272,Rodovia,0.1568627450980392
196,ES 447,Rodovia,0.0
197,AM 230,Rodovia,0.19047619047619047
198,PI 407,Rodovia,0.4088669950738916
199,SC NA,Rodovia,0.0
200,SE 349,Rodovia,0.0
201,RO NA,Rodovia,0.0
202,CE 122,Rodovia,0.25
203,PB 110,Rodovia,0.15
204,RJ 495,Rodovia,0.0
205,PI 20,Rodovia,0.0
206,RO 421,Rodovia,0.3568627450980392
207,PE NA,Rodovia,0.0
208,MS 359,Rodovia,0.13709677419354838
209,PB NA,Rodovia,0.0
210,PI NA,Rodovia,0.0
211,PI 402,Rodovia,0.0
212,RO 425,Rodovia,0.24605678233438485
213,GO NA,Rodovia,0.0
214,MA NA,Rodovia,0.0
215,MT NA,Rodovia,0.0
216,MG NA,Rodovia,0.0
217,SC 285,Rodovia,0.0
218,BA 30,Rodovia,0.6
219,PA 153,Rodovia,0.7981651376146789
220,PR 280,Rodovia,0.16091954022988506
221,SP NA,Rodovia,0.0
222,CE 402,Rodovia,0.3157894736842105
223,CE NA,Rodovia,0.0
224,DF NA,Rodovia,0.0
225,PB 412,Rodovia,0.41379310344827586
226,CE 226,Rodovia,0.6470588235294118
227,MS 419,Rodovia,0.0
228,TO 226,Rodovia,0.18609625668449198
229,AM NA,Rodovia,0.0
230,SP 262,Rodovia,0.0
231,PB 434,Rodovia,1.0
232,SP 158,Rodovia,0.0
233,PR 487,Rodovia,0.055248618784530384
234,RN NA,Rodovia,0.0
235,RJ 485,Rodovia,0.0
236,AL 416,Rodovia,1.0
237,AL 424,Rodovia,0.0
238,RR NA,Rodovia,0.0
239,PR NA,Rodovia,0.6486486486486487
240,MS 487,Rodovia,0.05161290322580645
241,BA NA,Rodovia,0.0
242,GO 30,Rodovia,1.0
243,PR 466,Rodovia,0.0
244,AL 110,Rodovia,0.14285714285714285
245,CE 403,Rodovia,0.9375
246,BA 423,Rodovia,0.0
247,ES NA,Rodovia,0.0
248,MA 330,Rodovia,0.0
249,RS 480,Rodovia,0.0
250,AC NA,Rodovia,0.0
251,PI 226,Rodovia,0.0
252,PB 426,Rodovia,0.0
253,PE 363,Rodovia,0.0
