Id,Label,Type
1,RJ 101,Rodovia
2,Total de Acidentes (RJ 101),Total de Acidentes
3,Acidentes Graves (RJ 101),Acidentes Graves
4,Acidentes com Feridos (RJ 101),Acidentes com Feridos
5,Acidentes Leves (RJ 101),Acidentes Leves
6,GO 153,Rodovia
7,Total de Acidentes (GO 153),Total de Acidentes
8,Acidentes Graves (GO 153),Acidentes Graves
9,Acidentes com Feridos (GO 153),Acidentes com Feridos
10,Acidentes Leves (GO 153),Acidentes Leves
11,ES 101,Rodovia
12,Total de Acidentes (ES 101),Total de Acidentes
13,Acidentes Graves (ES 101),Acidentes Graves
14,Acidentes com Feridos (ES 101),Acidentes com Feridos
15,Acidentes Leves (ES 101),Acidentes Leves
16,SC 101,Rodovia
17,Total de Acidentes (SC 101),Total de Acidentes
18,Acidentes Graves (SC 101),Acidentes Graves
19,Acidentes com Feridos (SC 101),Acidentes com Feridos
20,Acidentes Leves (SC 101),Acidentes Leves
21,RS 116,Rodovia
22,Total de Acidentes (RS 116),Total de Acidentes
23,Acidentes Graves (RS 116),Acidentes Graves
24,Acidentes com Feridos (RS 116),Acidentes com Feridos
25,Acidentes Leves (RS 116),Acidentes Leves
26,PR 277,Rodovia
27,Total de Acidentes (PR 277),Total de Acidentes
28,Acidentes Graves (PR 277),Acidentes Graves
29,Acidentes com Feridos (PR 277),Acidentes com Feridos
30,Acidentes Leves (PR 277),Acidentes Leves
31,RS 158,Rodovia
32,Total de Acidentes (RS 158),Total de Acidentes
33,Acidentes Graves (RS 158),Acidentes Graves
34,Acidentes com Feridos (RS 158),Acidentes com Feridos
35,Acidentes Leves (RS 158),Acidentes Leves
36,MS 262,Rodovia
37,Total de Acidentes (MS 262),Total de Acidentes
38,Acidentes Graves (MS 262),Acidentes Graves
39,Acidentes com Feridos (MS 262),Acidentes com Feridos
40,Acidentes Leves (MS 262),Acidentes Leves
41,RO 364,Rodovia
42,Total de Acidentes (RO 364),Total de Acidentes
43,Acidentes Graves (RO 364),Acidentes Graves
44,Acidentes com Feridos (RO 364),Acidentes com Feridos
45,Acidentes Leves (RO 364),Acidentes Leves
46,SP 101,Rodovia
47,Total de Acidentes (SP 101),Total de Acidentes
48,Acidentes Graves (SP 101),Acidentes Graves
49,Acidentes com Feridos (SP 101),Acidentes com Feridos
50,Acidentes Leves (SP 101),Acidentes Leves
51,PR 376,Rodovia
52,Total de Acidentes (PR 376),Total de Acidentes
53,Acidentes Graves (PR 376),Acidentes Graves
54,Acidentes com Feridos (PR 376),Acidentes com Feridos
55,Acidentes Leves (PR 376),Acidentes Leves
56,PR 369,Rodovia
57,Total de Acidentes (PR 369),Total de Acidentes
58,Acidentes Graves (PR 369),Acidentes Graves
59,Acidentes com Feridos (PR 369),Acidentes com Feridos
60,Acidentes Leves (PR 369),Acidentes Leves
61,ES 262,Rodovia
62,Total de Acidentes (ES 262),Total de Acidentes
63,Acidentes Graves (ES 262),Acidentes Graves
64,Acidentes com Feridos (ES 262),Acidentes com Feridos
65,Acidentes Leves (ES 262),Acidentes Leves
66,GO 60,Rodovia
67,Total de Acidentes (GO 60),Total de Acidentes
68,Acidentes Graves (GO 60),Acidentes Graves
69,Acidentes com Feridos (GO 60),Acidentes com Feridos
70,Acidentes Leves (GO 60),Acidentes Leves
71,MG 381,Rodovia
72,Total de Acidentes (MG 381),Total de Acidentes
73,Acidentes Graves (MG 381),Acidentes Graves
74,Acidentes com Feridos (MG 381),Acidentes com Feridos
75,Acidentes Leves (MG 381),Acidentes Leves
76,DF 60,Rodovia
77,Total de Acidentes (DF 60),Total de Acidentes
78,Acidentes Graves (DF 60),Acidentes Graves
79,Acidentes com Feridos (DF 60),Acidentes com Feridos
80,Acidentes Leves (DF 60),Acidentes Leves
81,PR 153,Rodovia
82,Total de Acidentes (PR 153),Total de Acidentes
83,Acidentes Graves (PR 153),Acidentes Graves
84,Acidentes com Feridos (PR 153),Acidentes com Feridos
85,Acidentes Leves (PR 153),Acidentes Leves
86,GO 80,Rodovia
87,Total de Acidentes (GO 80),Total de Acidentes
88,Acidentes Graves (GO 80),Acidentes Graves
89,Acidentes com Feridos (GO 80),Acidentes com Feridos
90,Acidentes Leves (GO 80),Acidentes Leves
91,PI 316,Rodovia
92,Total de Acidentes (PI 316),Total de Acidentes
93,Acidentes Graves (PI 316),Acidentes Graves
94,Acidentes com Feridos (PI 316),Acidentes com Feridos
95,Acidentes Leves (PI 316),Acidentes Leves
96,PI 343,Rodovia
97,Total de Acidentes (PI 343),Total de Acidentes
98,Acidentes Graves (PI 343),Acidentes Graves
99,Acidentes com Feridos (PI 343),Acidentes com Feridos
100,Acidentes Leves (PI 343),Acidentes Leves
101,RS 386,Rodovia
102,Total de Acidentes (RS 386),Total de Acidentes
103,Acidentes Graves (RS 386),Acidentes Graves
104,Acidentes com Feridos (RS 386),Acidentes com Feridos
105,Acidentes Leves (RS 386),Acidentes Leves
106,BA 116,Rodovia
107,Total de Acidentes (BA 116),Total de Acidentes
108,Acidentes Graves (BA 116),Acidentes Graves
109,Acidentes com Feridos (BA 116),Acidentes com Feridos
110,Acidentes Leves (BA 116),Acidentes Leves
111,PE 428,Rodovia
112,Total de Acidentes (PE 428),Total de Acidentes
113,Acidentes Graves (PE 428),Acidentes Graves
114,Acidentes com Feridos (PE 428),Acidentes com Feridos
115,Acidentes Leves (PE 428),Acidentes Leves
116,SC 280,Rodovia
117,Total de Acidentes (SC 280),Total de Acidentes
118,Acidentes Graves (SC 280),Acidentes Graves
119,Acidentes com Feridos (SC 280),Acidentes com Feridos
120,Acidentes Leves (SC 280),Acidentes Leves
121,PE 101,Rodovia
122,Total de Acidentes (PE 101),Total de Acidentes
123,Acidentes Graves (PE 101),Acidentes Graves
124,Acidentes com Feridos (PE 101),Acidentes com Feridos
125,Acidentes Leves (PE 101),Acidentes Leves
126,SE 235,Rodovia
127,Total de Acidentes (SE 235),Total de Acidentes
128,Acidentes Graves (SE 235),Acidentes Graves
129,Acidentes com Feridos (SE 235),Acidentes com Feridos
130,Acidentes Leves (SE 235),Acidentes Leves
131,PR 116,Rodovia
132,Total de Acidentes (PR 116),Total de Acidentes
133,Acidentes Graves (PR 116),Acidentes Graves
134,Acidentes com Feridos (PR 116),Acidentes com Feridos
135,Acidentes Leves (PR 116),Acidentes Leves
136,SE 101,Rodovia
137,Total de Acidentes (SE 101),Total de Acidentes
138,Acidentes Graves (SE 101),Acidentes Graves
139,Acidentes com Feridos (SE 101),Acidentes com Feridos
140,Acidentes Leves (SE 101),Acidentes Leves
141,MS 60,Rodovia
142,Total de Acidentes (MS 60),Total de Acidentes
143,Acidentes Graves (MS 60),Acidentes Graves
144,Acidentes com Feridos (MS 60),Acidentes com Feridos
145,Acidentes Leves (MS 60),Acidentes Leves
146,DF 20,Rodovia
147,Total de Acidentes (DF 20),Total de Acidentes
148,Acidentes Graves (DF 20),Acidentes Graves
149,Acidentes com Feridos (DF 20),Acidentes com Feridos
150,Acidentes Leves (DF 20),Acidentes Leves
151,MG 365,Rodovia
152,Total de Acidentes (MG 365),Total de Acidentes
153,Acidentes Graves (MG 365),Acidentes Graves
154,Acidentes com Feridos (MG 365),Acidentes com Feridos
155,Acidentes Leves (MG 365),Acidentes Leves
156,RJ 356,Rodovia
157,Total de Acidentes (RJ 356),Total de Acidentes
158,Acidentes Graves (RJ 356),Acidentes Graves
159,Acidentes com Feridos (RJ 356),Acidentes com Feridos
160,Acidentes Leves (RJ 356),Acidentes Leves
161,PR 373,Rodovia
162,Total de Acidentes (PR 373),Total de Acidentes
163,Acidentes Graves (PR 373),Acidentes Graves
164,Acidentes com Feridos (PR 373),Acidentes com Feridos
165,Acidentes Leves (PR 373),Acidentes Leves
166,MG 262,Rodovia
167,Total de Acidentes (MG 262),Total de Acidentes
168,Acidentes Graves (MG 262),Acidentes Graves
169,Acidentes com Feridos (MG 262),Acidentes com Feridos
170,Acidentes Leves (MG 262),Acidentes Leves
171,PB 101,Rodovia
172,Total de Acidentes (PB 101),Total de Acidentes
173,Acidentes Graves (PB 101),Acidentes Graves
174,Acidentes com Feridos (PB 101),Acidentes com Feridos
175,Acidentes Leves (PB 101),Acidentes Leves
176,MG 40,Rodovia
177,Total de Acidentes (MG 40),Total de Acidentes
178,Acidentes Graves (MG 40),Acidentes Graves
179,Acidentes com Feridos (MG 40),Acidentes com Feridos
180,Acidentes Leves (MG 40),Acidentes Leves
181,TO 153,Rodovia
182,Total de Acidentes (TO 153),Total de Acidentes
183,Acidentes Graves (TO 153),Acidentes Graves
184,Acidentes com Feridos (TO 153),Acidentes com Feridos
185,Acidentes Leves (TO 153),Acidentes Leves
186,SC 116,Rodovia
187,Total de Acidentes (SC 116),Total de Acidentes
188,Acidentes Graves (SC 116),Acidentes Graves
189,Acidentes com Feridos (SC 116),Acidentes com Feridos
190,Acidentes Leves (SC 116),Acidentes Leves
191,MT 364,Rodovia
192,Total de Acidentes (MT 364),Total de Acidentes
193,Acidentes Graves (MT 364),Acidentes Graves
194,Acidentes com Feridos (MT 364),Acidentes com Feridos
195,Acidentes Leves (MT 364),Acidentes Leves
196,CE 304,Rodovia
197,Total de Acidentes (CE 304),Total de Acidentes
198,Acidentes Graves (CE 304),Acidentes Graves
199,Acidentes com Feridos (CE 304),Acidentes com Feridos
200,Acidentes Leves (CE 304),Acidentes Leves
201,PB 230,Rodovia
202,Total de Acidentes (PB 230),Total de Acidentes
203,Acidentes Graves (PB 230),Acidentes Graves
204,Acidentes com Feridos (PB 230),Acidentes com Feridos
205,Acidentes Leves (PB 230),Acidentes Leves
206,PE 110,Rodovia
207,Total de Acidentes (PE 110),Total de Acidentes
208,Acidentes Graves (PE 110),Acidentes Graves
209,Acidentes com Feridos (PE 110),Acidentes com Feridos
210,Acidentes Leves (PE 110),Acidentes Leves
211,MG 251,Rodovia
212,Total de Acidentes (MG 251),Total de Acidentes
213,Acidentes Graves (MG 251),Acidentes Graves
214,Acidentes com Feridos (MG 251),Acidentes com Feridos
215,Acidentes Leves (MG 251),Acidentes Leves
216,AL 316,Rodovia
217,Total de Acidentes (AL 316),Total de Acidentes
218,Acidentes Graves (AL 316),Acidentes Graves
219,Acidentes com Feridos (AL 316),Acidentes com Feridos
220,Acidentes Leves (AL 316),Acidentes Leves
221,SP 116,Rodovia
222,Total de Acidentes (SP 116),Total de Acidentes
223,Acidentes Graves (SP 116),Acidentes Graves
224,Acidentes com Feridos (SP 116),Acidentes com Feridos
225,Acidentes Leves (SP 116),Acidentes Leves
226,SC 282,Rodovia
227,Total de Acidentes (SC 282),Total de Acidentes
228,Acidentes Graves (SC 282),Acidentes Graves
229,Acidentes com Feridos (SC 282),Acidentes com Feridos
230,Acidentes Leves (SC 282),Acidentes Leves
231,MT 163,Rodovia
232,Total de Acidentes (MT 163),Total de Acidentes
233,Acidentes Graves (MT 163),Acidentes Graves
234,Acidentes com Feridos (MT 163),Acidentes com Feridos
235,Acidentes Leves (MT 163),Acidentes Leves
236,ES 393,Rodovia
237,Total de Acidentes (ES 393),Total de Acidentes
238,Acidentes Graves (ES 393),Acidentes Graves
239,Acidentes com Feridos (ES 393),Acidentes com Feridos
240,RS 101,Rodovia
241,Total de Acidentes (RS 101),Total de Acidentes
242,Acidentes Graves (RS 101),Acidentes Graves
243,Acidentes com Feridos (RS 101),Acidentes com Feridos
244,Acidentes Leves (RS 101),Acidentes Leves
245,RN 101,Rodovia
246,Total de Acidentes (RN 101),Total de Acidentes
247,Acidentes Graves (RN 101),Acidentes Graves
248,Acidentes com Feridos (RN 101),Acidentes com Feridos
249,Acidentes Leves (RN 101),Acidentes Leves
250,RN 406,Rodovia
251,Total de Acidentes (RN 406),Total de Acidentes
252,Acidentes Graves (RN 406),Acidentes Graves
253,Acidentes com Feridos (RN 406),Acidentes com Feridos
254,Acidentes Leves (RN 406),Acidentes Leves
255,RJ 116,Rodovia
256,Total de Acidentes (RJ 116),Total de Acidentes
257,Acidentes Graves (RJ 116),Acidentes Graves
258,Acidentes com Feridos (RJ 116),Acidentes com Feridos
259,Acidentes Leves (RJ 116),Acidentes Leves
260,RS 392,Rodovia
261,Total de Acidentes (RS 392),Total de Acidentes
262,Acidentes Graves (RS 392),Acidentes Graves
263,Acidentes com Feridos (RS 392),Acidentes com Feridos
264,Acidentes Leves (RS 392),Acidentes Leves
265,RS 285,Rodovia
266,Total de Acidentes (RS 285),Total de Acidentes
267,Acidentes Graves (RS 285),Acidentes Graves
268,Acidentes com Feridos (RS 285),Acidentes com Feridos
269,Acidentes Leves (RS 285),Acidentes Leves
270,BA 324,Rodovia
271,Total de Acidentes (BA 324),Total de Acidentes
272,Acidentes Graves (BA 324),Acidentes Graves
273,Acidentes com Feridos (BA 324),Acidentes com Feridos
274,Acidentes Leves (BA 324),Acidentes Leves
275,CE 116,Rodovia
276,Total de Acidentes (CE 116),Total de Acidentes
277,Acidentes Graves (CE 116),Acidentes Graves
278,Acidentes com Feridos (CE 116),Acidentes com Feridos
279,Acidentes Leves (CE 116),Acidentes Leves
280,RS 290,Rodovia
281,Total de Acidentes (RS 290),Total de Acidentes
282,Acidentes Graves (RS 290),Acidentes Graves
283,Acidentes com Feridos (RS 290),Acidentes com Feridos
284,Acidentes Leves (RS 290),Acidentes Leves
285,AL 101,Rodovia
286,Total de Acidentes (AL 101),Total de Acidentes
287,Acidentes Graves (AL 101),Acidentes Graves
288,Acidentes com Feridos (AL 101),Acidentes com Feridos
289,Acidentes Leves (AL 101),Acidentes Leves
290,GO 70,Rodovia
291,Total de Acidentes (GO 70),Total de Acidentes
292,Acidentes Graves (GO 70),Acidentes Graves
293,Acidentes com Feridos (GO 70),Acidentes com Feridos
294,Acidentes Leves (GO 70),Acidentes Leves
295,BA 101,Rodovia
296,Total de Acidentes (BA 101),Total de Acidentes
297,Acidentes Graves (BA 101),Acidentes Graves
298,Acidentes com Feridos (BA 101),Acidentes com Feridos
299,Acidentes Leves (BA 101),Acidentes Leves
300,GO 364,Rodovia
301,Total de Acidentes (GO 364),Total de Acidentes
302,Acidentes Graves (GO 364),Acidentes Graves
303,Acidentes com Feridos (GO 364),Acidentes com Feridos
304,Acidentes Leves (GO 364),Acidentes Leves
305,GO 50,Rodovia
306,Total de Acidentes (GO 50),Total de Acidentes
307,Acidentes Graves (GO 50),Acidentes Graves
308,Acidentes com Feridos (GO 50),Acidentes com Feridos
309,Acidentes Leves (GO 50),Acidentes Leves
310,SP 381,Rodovia
311,Total de Acidentes (SP 381),Total de Acidentes
312,Acidentes Graves (SP 381),Acidentes Graves
313,Acidentes com Feridos (SP 381),Acidentes com Feridos
314,Acidentes Leves (SP 381),Acidentes Leves
315,PI 222,Rodovia
316,Total de Acidentes (PI 222),Total de Acidentes
317,Acidentes Graves (PI 222),Acidentes Graves
318,Acidentes com Feridos (PI 222),Acidentes com Feridos
319,Acidentes Leves (PI 222),Acidentes Leves
320,RJ 40,Rodovia
321,Total de Acidentes (RJ 40),Total de Acidentes
322,Acidentes Graves (RJ 40),Acidentes Graves
323,Acidentes com Feridos (RJ 40),Acidentes com Feridos
324,Acidentes Leves (RJ 40),Acidentes Leves
325,SC 470,Rodovia
326,Total de Acidentes (SC 470),Total de Acidentes
327,Acidentes Graves (SC 470),Acidentes Graves
328,Acidentes com Feridos (SC 470),Acidentes com Feridos
329,Acidentes Leves (SC 470),Acidentes Leves
330,SC 480,Rodovia
331,Total de Acidentes (SC 480),Total de Acidentes
332,Acidentes com Feridos (SC 480),Acidentes com Feridos
333,Acidentes Leves (SC 480),Acidentes Leves
334,PA 316,Rodovia
335,Total de Acidentes (PA 316),Total de Acidentes
336,Acidentes Graves (PA 316),Acidentes Graves
337,Acidentes com Feridos (PA 316),Acidentes com Feridos
338,Acidentes Leves (PA 316),Acidentes Leves
339,PR 163,Rodovia
340,Total de Acidentes (PR 163),Total de Acidentes
341,Acidentes Graves (PR 163),Acidentes Graves
342,Acidentes com Feridos (PR 163),Acidentes com Feridos
343,Acidentes Leves (PR 163),Acidentes Leves
344,MS 163,Rodovia
345,Total de Acidentes (MS 163),Total de Acidentes
346,Acidentes Graves (MS 163),Acidentes Graves
347,Acidentes com Feridos (MS 163),Acidentes com Feridos
348,Acidentes Leves (MS 163),Acidentes Leves
349,MG 116,Rodovia
350,Total de Acidentes (MG 116),Total de Acidentes
351,Acidentes Graves (MG 116),Acidentes Graves
352,Acidentes com Feridos (MG 116),Acidentes com Feridos
353,Acidentes Leves (MG 116),Acidentes Leves
354,MG 267,Rodovia
355,Total de Acidentes (MG 267),Total de Acidentes
356,Acidentes Graves (MG 267),Acidentes Graves
357,Acidentes com Feridos (MG 267),Acidentes com Feridos
358,Acidentes Leves (MG 267),Acidentes Leves
359,RN 304,Rodovia
360,Total de Acidentes (RN 304),Total de Acidentes
361,Acidentes Graves (RN 304),Acidentes Graves
362,Acidentes com Feridos (RN 304),Acidentes com Feridos
363,Acidentes Leves (RN 304),Acidentes Leves
364,PA 10,Rodovia
365,Total de Acidentes (PA 10),Total de Acidentes
366,Acidentes Graves (PA 10),Acidentes Graves
367,Acidentes com Feridos (PA 10),Acidentes com Feridos
368,Acidentes Leves (PA 10),Acidentes Leves
369,AC 364,Rodovia
370,Total de Acidentes (AC 364),Total de Acidentes
371,Acidentes Graves (AC 364),Acidentes Graves
372,Acidentes com Feridos (AC 364),Acidentes com Feridos
373,Acidentes Leves (AC 364),Acidentes Leves
374,MS 158,Rodovia
375,Total de Acidentes (MS 158),Total de Acidentes
376,Acidentes Graves (MS 158),Acidentes Graves
377,Acidentes com Feridos (MS 158),Acidentes com Feridos
378,Acidentes Leves (MS 158),Acidentes Leves
379,MG 146,Rodovia
380,Total de Acidentes (MG 146),Total de Acidentes
381,Acidentes Graves (MG 146),Acidentes Graves
382,Acidentes com Feridos (MG 146),Acidentes com Feridos
383,Acidentes Leves (MG 146),Acidentes Leves
384,BA 242,Rodovia
385,Total de Acidentes (BA 242),Total de Acidentes
386,Acidentes Graves (BA 242),Acidentes Graves
387,Acidentes com Feridos (BA 242),Acidentes com Feridos
388,Acidentes Leves (BA 242),Acidentes Leves
389,MA 135,Rodovia
